,fluxes
rxn00650_c1,-0.0007131831220243216
rxn00283_c2,0.028597286341854645
rxn00336_c4,0.098817769986021
rxn04996_c2,-0.016438192537000292
rxn03439_c6,0.014298643170927326
rxn16503_c2,-0.06584259851086786
rxn02897_c6,0.0007131831220243218
rxn02056_c6,-0.0007131831220243218
rxn05491_c2,-0.031981889746241464
rxn06076_c6,-0.0028017468629023714
rxn06865_c3,-0.014298643170927326
rxn00119_c6,0.01104928161072676
rxn16511_c2,-0.06584259851086786
rxn05296_c6,0.24255035749991902
rxn01466_c6,0.01643819253700029
rxn05310_c6,0.8390396963838858
rxn01673_c2,0.0028017468629023714
rxn02287_c6,0.0007131831220243219
rxn05687_c2,0.0007131831220243216
rxn10199_c6,0.014298643170927324
rxn05293_c2,0.17440146980878424
rxn04113_c3,0.15796327727178391
rxn05255_c6,0.0021395493660729768
rxn09427_c2,0.0442223871979432
rxn03130_c6,0.014298643170927326
rxn10213_c2,0.04422238719794321
rxn03182_c6,0.014298643170927326
rxn05578_c2,-0.1435362151924042
rxn00903_c3,-0.15153176396111306
rxn06075_c6,-0.0028017468629023714
rxn09233_c2,0.002801746862902371
rxn02213_c3,0.0014263662440486258
rxn03395_c6,0.0007131831220243215
EX_cpd00028_e0,-0.004279098732145931
EX_cpd00156_e0,-0.15153176396111304
EX_cpd00644_e0,-0.16008996142540538
rxn01575_c5,-0.10402243720718635
rxn05148_c4,0.0007131831220243218
EX_cpd00305_e0,-0.00427909873214593
EX_cpd00030_e0,-0.004279098732145931
EX_cpd10516_e0,-0.004279098732145929
rxn03240_c5,-0.07149321585463661
rxn00131_c5,-0.0605791760881027
EX_cpd00254_e0,-0.004279098732145931
EX_cpd00149_e0,-0.004279098732145939
rxn05578_c5,-0.04201057126233709
rxn00555_c5,-0.08113253716289766
rxn03435_c5,-0.10402243720718633
rxn00898_c3,0.15153176396111306
rxn07847_c1,-0.017116394928583717
rxn12636_c6,0.15971617185492418
rxn00616_c1,-0.0816682763285466
rxn12510_c5,0.00142636624404893
rxn06723_c1,-0.028597286341854645
rxn02373_c6,-0.1068428888545863
rxn00313_c1,0.12279628406962498
rxn05325_c1,-0.07149321585463662
rxn09042_c4,0.0007131831220243178
rxn00692_c2,0.14801683397618637
rxn00503_c4,-0.07930992450050663
rxn05211_c3,-0.09953095310804533
rxn01352_c4,-0.057727822746590655
rxn03436_c2,0.10402243720718633
rxn00146_c3,3.6937372150863004
rxn13850_c4,-0.0571945726837093
rxn05168_c4,0.15153176396111306
rxn05560_c2,0.022111193598971596
rxn03983_c3,0.005603493725804742
rxn00781_c2,-0.2669479444520039
rxn00124_c4,0.0007131831220243218
rxn05198_c2,0.036917321945938546
