,fluxes,fluxes,fluxes
rxn00530_c3,0.0007131831220243275,0.000713183122024328,0.0007131831220243204
rxn12850_c6,0.12052972651900437,0.12052972651900434,0.12052972651900316
rxn05687_c3,0.0021395493660729833,0.0021395493660728896,0.0021395493660727673
rxn00126_c6,0.0007131831220243309,0.0007131831220243263,0.000713183122024279
rxn00762_c3,-0.022111193598971797,-0.022111193598971773,-0.022111193598971596
rxn02285_c4,-0.014298643170927447,-0.014298643170927442,-0.014298643170927317
rxn00770_c3,0.07447532615764255,0.07447532615764307,0.07447532615764191
rxn00686_c3,-0.0021395493660729802,-0.002139549366072883,-0.002139549366073025
rxn01302_c4,-0.39933694592357355,,
rxn08661_c5,-0.12623247237540966,-0.12623247237543367,-0.12551928925340364
rxn01669_c4,-0.001426366244049224,-0.0014263662440468258,-0.0014263662440446427
rxn05294_c3,0.005423040360423241,0.005423040360423241,0.005423040360423193
rxn05289_c3,0.00560349372580479,0.005603493725804788,0.00560349372580474
rxn10122_c4,9.026215064137153,11.500933754438313,10.328752680643555
rxn05029_c4,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn09042_c3,0.0007131831220243275,0.0007131831220243278,0.000713183122024321
rxn09041_c6,0.0007131831220243273,0.0007131831220243274,0.000713183122024321
rxn05315_c4,-0.0007131831220243275,-0.0007131831220243278,-0.0007131831220243211
rxn00692_c3,1.2033303790546548,0.7359019172971127,0.567397768780776
rxn03395_c3,0.0007131831220243275,0.0007131831220243278,0.0007131831220243206
rxn08352_c4,0.01643819253700043,0.01643819253700043,0.016438192537000275
rxn05200_c3,0.0028017468629023957,0.0028017468629023944,0.00280174686290237
rxn00283_c5,0.04289592951278234,0.04289592951278233,0.04289592951278195
rxn08822_c1,0.04422238719794473,0.04422238719794358,0.04422238719794319
rxn09188_c1,0.07738917759640124,0.07738917759640127,0.07738917759640057
rxn03843_c2,0.014298643170927447,0.014298643170927446,0.014298643170927317
rxn05337_c2,-0.07149321585463721,-0.0714932158546372,-0.07149321585463664
rxn02804_c5,-0.07149321585463723,-0.07149321585463723,-0.07149321585463657
rxn00184_c5,-2.145711070754333,-4.046473063719788,-5.009172326289605
EX_cpd00099_e0,-0.004279098732145966,-0.0042790987321459665,-0.0042790987321459275
EX_cpd00028_e0,-0.004279098732145966,-0.0042790987321459665,-0.0042790987321459275
EX_cpd00156_e0,-0.15295813020516294,-0.15295813020516288,-0.15295813020516358
rxn01465_c5,-0.07656388989852066,-0.07656388989852071,-0.07656388989851999
rxn01636_c2,0.10612970573256286,0.10612970573256285,0.10612970573256188
EX_cpd00065_e0,-2.009422398216676,-2.52562204769653,-2.894646264686801
rxn10336_c2,0.011055596799485895,0.011055596799485895,0.011055596799485796
EX_cpd00644_e0,-0.001426366244048771,-0.0014263662440484471,-0.0014263662440484842
rxn05651_c6,8.528273980279884,10.123913824721443,8.840599058545434
rxn00077_c6,0.0007131831220219901,0.0007131831220222669,0.0007131831220244785
EX_cpd00305_e0,-0.004279098732145956,-0.004279098732145957,-0.004279098732145926
EX_cpd00030_e0,-0.004279098732145965,-0.0042790987321459665,-0.0042790987321459275
EX_cpd10516_e0,-0.00570546497619462,-0.00570546497619462,-0.0042790987321459275
EX_cpd00254_e0,-0.004279098732145965,-0.0042790987321459665,-0.0042790987321459275
EX_cpd00149_e0,-0.004279098732145965,-0.0042790987321459665,-0.0042790987321459275
rxn00898_c2,0.15153176396111434,0.15153176396111434,0.15153176396111295
rxn00541_c6,-0.09080411645710244,-0.09080411645710244,
rxn05318_c4,0.04897050209094939,0.04897050209092746,0.048970502090915344
rxn00364_c4,0.2509716748960655,0.2509716748960655,0.2509716748960632
rxn05334_c2,0.07149321585463722,0.07149321585463721,0.07149321585463661
rxn05145_c5,0.8312181681582614,0.5450084652438205,0.545246192951137
rxn01200_c6,0.7585488247660724,2.492959813382913,3.6217583940755627
rxn03408_c4,0.014298643170927447,0.014298643170927446,0.014298643170927315
rxn05233_c6,0.0028017468629023953,0.0028017468629023944,0.0028017468629023697
rxn01637_c1,-0.10684288885458718,-0.10684288885458718,-0.10684288885458622
rxn05345_c1,0.057194572683708124,0.05719457268370961,0.05719457268370926
rxn00248_c1,0.09614514202422227,0.09614514202422227,0.09614514202422136
rxn00708_c1,0.08216738362432548,0.08216738362432495,0.08216738362432474
rxn09532_c5,-0.0007131831220243275,-0.0007131831220243278,-0.0007131831220243212
rxn05148_c6,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn05222_c1,0.020306405789984956,0.02030640578998496,0.02030640578998477
rxn08311_c3,0.011055596799485893,0.011055596799485897,0.011055596799485796
EX_cpd10515_e0,-0.007131831220243276,-0.007131831220243277,-0.008558197464291853
rxn06723_c6,-0.02859728634185489,-0.02859728634185489,-0.02859728634185463
rxn03146_c6,0.028597286341854895,0.02859728634185489,0.02859728634185463
