,minimum,maximum
ALAGLYabc,0.0,3.7500101168189484e-11
ALAHIS1c,0.0,22.313913562157488
ALAHISabc,0.0,22.313913562160423
ALALEU1c,0.0,22.313913562160472
ALALEUabc,0.0,22.313913562160977
ALAPAT4te,-1000.0,-977.686086437839
ALAPGPL,0.11355234861910782,0.11355234861910816
ALAR,13.512729485673827,13.51272948567386
ALATA_L,-1000.0,-1000.0000000000006
ALATHR1c,0.0,22.313913562160966
ALATHRabc,0.0,22.31391356215878
ALCD19,-1.4944351413563262e-12,2.2450712757818455e-10
ALCD2x,-1000.0,-999.9999999999538
ALCD4,0.0,0.0
ALKP_R788,985.5643661148679,985.5643661148816
ALLTN,0.0,0.0
ALLTNt2r,0.0,0.0
AMANAPEr,0.0,0.0
AMMQLT8,0.0,1.5662915445064032e-10
AMMQT72,0.0,0.0
AMMQT8r,-0.4991814309266528,-0.4991814308898377
AMPTASECG,0.0,4.405456903844713e-11
AMPTASEGC,0.0,3.891757284483812e-11
ARBTpts,0.0,848.3441900088523
ARBabc,0.0,3.674755139412436e-11
ARGDA,0.0,3.3751280904760185e-11
ARGSL,0.0,0.0
ARGabc,0.0,3.76421055182336e-11
ARGt2,83.84152417457193,530.3275327414394
ARSENBabc,0.0,2.736666544461472e-11
ASAD,-0.11355234861739669,-0.1135523486191078
ASNt2r,218.5365750697714,1000.0
ASPCT,0.0,9.38865099982374e-12
ASPKi,0.11355234861910782,0.1135523486383427
ASPTA,218.53657506982,1000.0000000000441
ASPt2r,-762.6983916329127,800.2284582278811
ATPS4,999.9999999999468,1000.0
BGLA,0.0,0.0
BGLA1,0.0,4.4283299849886073e-11
BPNT,0.49918143089038824,0.49918143089039024
BTNCLi,0.0,104.54989377492852
BUTKr,0.0,0.0
CAt4i,0.49918143089038824,0.4991814308903898
CBIAT,0.4991814308903882,0.4991814308903897
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBMKr,-1.2466079804147398e-11,1.181736576716094e-11
CBPS,0.0,1.2160943628787827e-11
CD2abc1,0.0,5.521576290422591e-12
CDPGLYCGPT,0.3406570458573235,0.34065704585732365
CDPMEK,1.2490758348101871,1.2490758348173694
CELBpts,0.0,1.2701465709061977e-11
CGLYabc,0.0,7.343918769960375e-12
CHLabc,0.0,1.0828194010733403e-11
