,id,WD-ABX_1.5,WD-ABX_4.0,WD-ABX_6.0,WD-ABX_12.5
429,rxn01138_c1,0.12025414241547616,0.11811193759456386,0.1260054660080256,0.029653430031911406
430,rxn10324_c1,0.0,0.0,0.0,0.0
431,rxn01607_c1,0.5804668743045887,0.5701264493384451,0.6082285194489789,0.14313713854083604
432,rxn05465_c1,2.087519073379633,2.357754625942668,1.9191277799976956,0.4155408535635289
433,rxn12845_c1,0.0,0.0,0.0,0.0
434,rxn08820_c1,0.0,0.0,0.0,0.0
435,rxn05380_c1,0.0,0.0,0.0,0.0
436,rxn05347_c1,0.0,0.0,0.0,0.0
437,rxn06077_c1,0.0,0.0,0.0,0.0
438,rxn00145_c1,0.0,0.0,0.0,0.0
439,rxn08126_c1,0.0,0.0,0.0,0.0
440,rxn03407_c1,0.0,0.0,0.0,0.0
441,rxn01870_c1,0.0,0.0,0.0,0.0
442,rxn00113_c1,0.0,0.0,0.0,0.0
443,rxn00297_c1,0.027122810357095684,0.026639645170960832,0.028419996931875427,0.006688205021779201
444,rxn00137_c1,0.02004235706924603,0.01968532293242731,0.021000911001337594,0.004942238338651903
445,rxn00745_c1,0.0,0.0,0.0,0.0
446,rxn06023_c1,0.02004235706924603,0.01968532293242731,0.021000911001337594,0.0049422383386519015
447,rxn05566_c1,-0.17634133382012968,-0.1706566368292989,-0.19160877275375499,0.0
448,rxn00611_c1,0.0,0.0,0.0,0.0
449,rxn05746_c1,0.0,0.0,0.0,0.0
450,rxn02286_c1,0.009040936785698561,0.00887988172365361,0.00947333231062514,0.002229401673926401
451,rxn00832_c1,-0.6570620616661718,-0.792162992021937,-0.655710019556015,-0.15431117238108516
452,rxn01106_c1,-92.1781630929494,-88.56142908879869,-102.70706610895515,1.192455677776859
453,rxn10193_c1,0.009040936785698561,0.00887988172365361,0.009473332310625143,0.0022294016739264
454,rxn12640_c1,0.0,0.0,0.0,0.0
455,rxn00690_c1,2.0123928381184157,2.0741580426747106,1.7109461547215747,0.2536361163538857
456,rxn00977_c1,0.0,0.0,0.0,0.0
457,rxn08438_c1,0.04847837447719218,0.07573642294005657,0.0,0.0
458,rxn00931_c1,0.9997458423543537,3.1729450330828106,0.9127285608935103,0.0
459,rxn00066_c1,0.0,0.0,0.0,0.0
460,rxn09450_c1,0.0,0.0,0.0,0.0
461,rxn00938_c1,0.0,0.0,0.0,0.0
462,rxn08380_c1,0.0,0.0,0.0,0.0
463,rxn05115_c1,0.38275205642900717,0.375933719164081,0.40105771216803693,0.09438270563414862
464,rxn00412_c1,0.0,0.33568144321783744,0.3581153399422088,0.0
465,rxn00650_c1,-0.02004235706924603,-0.01968532293242731,-0.021000911001337594,-0.0049422383386519015
466,rxn03167_c1,0.0,0.0,0.0,0.0
467,rxn00787_c1,0.0595263067602502,0.12769523858027299,0.05881883853646847,0.0
468,rxn01103_c1,0.0,0.0,0.0,0.0
469,rxn01313_c1,0.004259181707251258,0.003619468625451039,0.0,0.0
470,rxn08846_c1,0.0,0.0,0.0,0.0
471,rxn05397_c1,0.0,0.0,0.0,0.0
472,rxn03005_c1,0.0,0.0,0.0,0.0
473,rxn03437_c1,0.8376005331139894,0.7950097712939079,0.8403526143803277,0.19776394026489066
474,rxn12633_c1,0.0,0.0,0.0,0.0
475,rxn00882_c1,0.0,0.0,0.0,0.0
476,rxn00616_c1,-8.329749757446791,-8.582827621919412,-4.589228605045654,-1.4796030701503065
477,rxn00552_c1,0.0,0.0,0.0,0.0
478,rxn01857_c1,0.0,0.0,0.0,0.0
479,rxn00313_c1,0.08526489674505733,0.062250464314399956,0.1926602633308938,0.0
480,rxn00735_c1,0.0,0.0,0.0,0.0
481,rxn00775_c1,0.0,0.0,0.0,0.0
482,rxn02680_c1,0.0,0.0,0.0,0.0
483,rxn05405_c1,0.0,0.0,0.0,0.0
484,rxn00547_c1,0.0,0.013197095655196722,0.0,0.0
485,rxn08020_c1,0.0,0.0,0.0,0.0
486,rxn05325_c1,-0.24623146460173967,-0.3409275011405016,-0.28506699309077826,0.0
487,rxn11040_c1,0.0,0.0,0.0,0.0
488,rxn05610_c1,0.0,0.0,0.07116567368363091,0.0
489,rxn08803_c1,0.0,0.0,0.0,0.0
490,rxn08025_c1,0.0,0.0,0.0,0.0
491,rxn02895_c1,0.38275205642900717,0.375933719164081,0.40105771216803693,0.09438270563414862
492,rxn00189_c1,0.0,0.0,0.0,0.0
493,rxn01508_c1,0.0,0.0,0.0,0.007106368076403816
494,rxn02508_c1,0.16161435065586918,0.1587353559356086,0.1693437844130054,0.03985243038671281
495,rxn05442_c1,0.0,0.0,0.0,0.0
496,rxn00543_c1,0.05274117532826178,0.0,0.8236292880632501,0.0
497,rxn09992_c1,0.0,0.0,0.0,0.0
498,rxn00420_c1,0.23648904135046678,0.263434590628285,0.6628758090368938,0.2667228946432263
499,rxn10253_c1,0.0,0.0,0.0,0.0
500,rxn10221_c1,0.0,0.0,0.0,0.0
501,rxn14334_c1,0.009040936785698561,0.00887988172365361,0.009473332310625143,0.0022294016739264
502,rxn07979_c1,0.0,0.0,0.0,0.0
503,rxn08935_c1,0.0,0.0,0.0,0.0
504,rxn01363_c1,-2.3768355650637356,0.0,0.0,0.0
505,rxn00469_c1,0.0,0.0,0.0,0.0
506,rxn02804_c1,0.0,0.0,0.0,0.0
507,rxn00548_c1,-18.351617788029476,-18.599698694732336,-12.677662144201559,-10.51610658406593
508,rxn00048_c1,0.0,0.0,0.0,0.0
509,rxn00265_c1,2.182021576779943,2.4152327615623386,2.490837445936535,0.0
510,rxn05231_c1,0.028818595278764292,0.028305221414890225,0.030196885153870312,0.0
511,rxn00283_c1,0.6419065117845978,0.6304716023794066,0.6726065940543852,0.15828751884877443
512,rxn05373_c1,0.0,0.0,0.0,0.0
